,nome,nos,arcos,a/g,gmax,gmin,max_fm,max_cmin,nreq,mreq,max_reqs,max_reqc,std_reqs,std_reqc,LB,obj,metodo,tempo,semente,GAP
1252,mesh6x17.40,102,408,4.0,8,8,4,11,3894,38.1764705882353,48,49,7.061836864100302,7.232232259788289,84,88,kapov_ffd cm,72.43183994293213,1200,0.047619047619047616
1253,mesh6x17.40,102,408,4.0,8,8,4,11,3894,38.1764705882353,48,49,7.061836864100302,7.232232259788289,84,89,kapov_ffd fm,71.89532470703125,1200,0.05952380952380952
1254,mesh6x17.40,102,408,4.0,8,8,4,11,3894,38.1764705882353,48,49,7.061836864100302,7.232232259788289,84,88,kapov_ffd cm_fm,72.46315956115723,1200,0.047619047619047616
1255,mesh6x17.40,102,408,4.0,8,8,4,11,3894,38.1764705882353,48,49,7.061836864100302,7.232232259788289,84,88,kapov_ffd fm_cm,72.56412768363953,1200,0.047619047619047616
1256,mesh6x17.40,102,408,4.0,8,8,4,11,3894,38.1764705882353,48,49,7.061836864100302,7.232232259788289,84,89,criaantes_bfd cm,71.56538152694702,1200,0.05952380952380952
1257,mesh6x17.40,102,408,4.0,8,8,4,11,3894,38.1764705882353,48,49,7.061836864100302,7.232232259788289,84,90,criaantes_bfd fm,72.06126046180725,1200,0.07142857142857142
1258,mesh6x17.40,102,408,4.0,8,8,4,11,3894,38.1764705882353,48,49,7.061836864100302,7.232232259788289,84,89,criaantes_bfd cm_fm,71.60616087913513,1200,0.05952380952380952
1259,mesh6x17.40,102,408,4.0,8,8,4,11,3894,38.1764705882353,48,49,7.061836864100302,7.232232259788289,84,89,criaantes_bfd fm_cm,71.53714752197266,1200,0.05952380952380952
1260,mesh6x17.40,102,408,4.0,8,8,4,11,3894,38.1764705882353,48,49,7.061836864100302,7.232232259788289,84,88,criaantes_ffd cm,72.31291508674622,1200,0.047619047619047616
1261,mesh6x17.40,102,408,4.0,8,8,4,11,3894,38.1764705882353,48,49,7.061836864100302,7.232232259788289,84,89,criaantes_ffd fm,71.83785963058472,1200,0.05952380952380952
1262,mesh6x17.40,102,408,4.0,8,8,4,11,3894,38.1764705882353,48,49,7.061836864100302,7.232232259788289,84,88,criaantes_ffd cm_fm,72.32764267921448,1200,0.047619047619047616
1263,mesh6x17.40,102,408,4.0,8,8,4,11,3894,38.1764705882353,48,49,7.061836864100302,7.232232259788289,84,88,criaantes_ffd fm_cm,72.3175904750824,1200,0.047619047619047616
1264,mesh6x17.40,102,408,4.0,8,8,4,11,3894,38.1764705882353,48,49,7.061836864100302,7.232232259788289,84,88,criasemlim_bfd cm,72.49594569206238,1200,0.047619047619047616
1265,mesh6x17.40,102,408,4.0,8,8,4,11,3894,38.1764705882353,48,49,7.061836864100302,7.232232259788289,84,89,criasemlim_bfd fm,72.07865738868713,1200,0.05952380952380952
1266,mesh6x17.40,102,408,4.0,8,8,4,11,3894,38.1764705882353,48,49,7.061836864100302,7.232232259788289,84,88,criasemlim_bfd cm_fm,72.60099077224731,1200,0.047619047619047616
1267,mesh6x17.40,102,408,4.0,8,8,4,11,3894,38.1764705882353,48,49,7.061836864100302,7.232232259788289,84,88,criasemlim_bfd fm_cm,72.45982360839844,1200,0.047619047619047616
1268,mesh6x17.40,102,408,4.0,8,8,4,11,3894,38.1764705882353,48,49,7.061836864100302,7.232232259788289,84,88,criasemlim_ffd cm,71.62855529785156,1200,0.047619047619047616
1269,mesh6x17.40,102,408,4.0,8,8,4,11,3894,38.1764705882353,48,49,7.061836864100302,7.232232259788289,84,89,criasemlim_ffd fm,71.49367475509644,1200,0.05952380952380952
1270,mesh6x17.40,102,408,4.0,8,8,4,11,3894,38.1764705882353,48,49,7.061836864100302,7.232232259788289,84,88,criasemlim_ffd cm_fm,71.5754222869873,1200,0.047619047619047616
1271,mesh6x17.40,102,408,4.0,8,8,4,11,3894,38.1764705882353,48,49,7.061836864100302,7.232232259788289,84,88,criasemlim_ffd fm_cm,71.64426326751709,1200,0.047619047619047616
